sec,x1[m],v1[m/s],a1[m/s2],Force1[kgf],Force2[kgf],Fmonitor[V],Vmonitor[V],F_sim,MV1[V],x1tg[m],F1tg[kgf],v1tg[m/s],GLx1[m],GLy1[m],GHy1[m],GHy1[m],GHidariX[m],GhidariY[m],G_ab1[m],wii1-1[V],wii1-2[V],wii1-3[V],wii1-4[V],wii1-5[V],wii1-6[V],wii1-7[V],wii1-8[V],hidarite1-1[V],Hidarite1-2[V],Hidarite1-3[V],Hidarite1-4[V],GLx2[m],GLy2[m],GHy2[m],GHy2[m],GHidari2X[m],Ghidari2Y[m],G_ab2[m],wii2-1[V],wii2-2[V],wii2-3[V],wii2-4[V],wii2-5[V],wii2-6[V],wii2-7[V],wii2-8[V],hidarite2-1[V],Hidarite2-2[V],Hidarite2-3[V],Hidarite2-4[V],F1COP[kgf],x1COP[m],remoteEncoder[m],remoteForce[kgf],remoteGab[m],remoteFmoni[V]
0.354729,-1,,,0.236816,0.097656,,,,,,,,,,,,,,63.76558529,,,,,,,,,,,,,,,,,,,-1.577569957,,,,,,,,,,,,,,,,,,
0.357217,-1,,,0.229492,0.100708,,,,,,,,,,,,,,64.02541578,,,,,,,,,,,,,,,,,,,-1.499318222,,,,,,,,,,,,,,,,,,
0.359679,-1,,,0.233765,0.098572,,,,,,,,,,,,,,64.20970842,,,,,,,,,,,,,,,,,,,-1.392226381,,,,,,,,,,,,,,,,,,
0.362276,-1,,,0.237122,0.099182,,,,,,,,,,,,,,64.32879011,,,,,,,,,,,,,,,,,,,-1.268154611,,,,,,,,,,,,,,,,,,
0.364758,-1,,,0.237427,0.097046,,,,,,,,,,,,,,64.42025368,,,,,,,,,,,,,,,,,,,-1.132777245,,,,,,,,,,,,,,,,,,
0.36723,-1,,,0.240173,0.097046,,,,,,,,,,,,,,64.49195195,,,,,,,,,,,,,,,,,,,-0.980316643,,,,,,,,,,,,,,,,,,
0.371452,-1,,,0.238647,0.097656,,,,,,,,,,,,,,64.53963267,,,,,,,,,,,,,,,,,,,-0.828839904,,,,,,,,,,,,,,,,,,
0.373941,-1,,,0.239563,0.097656,,,,,,,,,,,,,,64.55340185,,,,,,,,,,,,,,,,,,,-0.728865905,,,,,,,,,,,,,,,,,,
0.37642,-1,,,0.23468,0.098267,,,,,,,,,,,,,,64.51641269,,,,,,,,,,,,,,,,,,,-0.721960381,,,,,,,,,,,,,,,,,,
0.378883,-1,,,0.237427,0.096741,,,,,,,,,,,,,,64.42835657,,,,,,,,,,,,,,,,,,,-0.792689208,,,,,,,,,,,,,,,,,,
0.381427,-1,,,0.24231,0.095825,,,,,,,,,,,,,,64.29764729,,,,,,,,,,,,,,,,,,,-0.900109351,,,,,,,,,,,,,,,,,,
0.383887,-1,,,0.24292,0.094299,,,,,,,,,,,,,,64.15646911,,,,,,,,,,,,,,,,,,,-1.035018017,,,,,,,,,,,,,,,,,,
0.386368,-1,,,0.24231,0.095825,,,,,,,,,,,,,,64.0711437,,,,,,,,,,,,,,,,,,,-1.208647488,,,,,,,,,,,,,,,,,,
0.390871,-1,,,0.240784,0.097351,,,,,,,,,,,,,,64.06658478,,,,,,,,,,,,,,,,,,,-1.413286563,,,,,,,,,,,,,,,,,,
0.393496,-1,,,0.241394,0.099487,,,,,,,,,,,,,,64.10749025,,,,,,,,,,,,,,,,,,,-1.612312721,,,,,,,,,,,,,,,,,,
0.395962,-1,,,0.240173,0.101013,,,,,,,,,,,,,,64.15881103,,,,,,,,,,,,,,,,,,,-1.765366719,,,,,,,,,,,,,,,,,,
0.398438,-1,,,0.233154,0.105896,,,,,,,,,,,,,,64.19339316,,,,,,,,,,,,,,,,,,,-1.874731347,,,,,,,,,,,,,,,,,,
0.400907,-1,,,0.237122,0.108643,,,,,,,,,,,,,,64.19172627,,,,,,,,,,,,,,,,,,,-1.965423255,,,,,,,,,,,,,,,,,,
0.403466,-2,,,0.238953,0.112305,,,,,,,,,,,,,,64.1489815,,,,,,,,,,,,,,,,,,,-2.030422299,,,,,,,,,,,,,,,,,,
0.405969,-2,,,0.239563,0.114136,,,,,,,,,,,,,,64.06444253,,,,,,,,,,,,,,,,,,,-2.054890554,,,,,,,,,,,,,,,,,,
0.410366,-2,,,0.239868,0.121765,,,,,,,,,,,,,,63.96551355,,,,,,,,,,,,,,,,,,,-2.04736267,,,,,,,,,,,,,,,,,,
0.41286,-2,,,0.239258,0.125732,,,,,,,,,,,,,,63.90223901,,,,,,,,,,,,,,,,,,,-2.013150436,,,,,,,,,,,,,,,,,,
0.415335,-2,,,0.238342,0.129089,,,,,,,,,,,,,,63.8707238,,,,,,,,,,,,,,,,,,,-1.963902406,,,,,,,,,,,,,,,,,,
